product,times_sold
Doohickey,78
Thingamajig,99
Gadget,116
Gizmo,48
Whatchamacallit,10
Gizmo,99
Widget,11
Thingamajig,85
Gadget,149
Doohickey,173
Gizmo,135
Gadget,192
Thingamajig,126
Widget,64
Gizmo,2
Whatchamacallit,76
Gadget,121
Whatchamacallit,42
Gadget,54
Gadget,75
Thingamajig,16
Thingamajig,18
Thingamajig,187
Doohickey,90
Gadget,144
Gizmo,6
Whatchamacallit,185
Thingamajig,108
Thingamajig,175
Whatchamacallit,48
Whatchamacallit,42
Gadget,76
Thingamajig,188
Whatchamacallit,77
Doohickey,132
Doohickey,130
Thingamajig,59
Whatchamacallit,155
Gadget,27
Gadget,79
Gadget,72
Widget,7
Thingamajig,191
Gadget,111
Doohickey,119
Whatchamacallit,174
Gizmo,63
Gizmo,124
Gadget,12
Gizmo,141
Gizmo,43
Widget,17
Doohickey,63
Doohickey,120
Widget,36
Widget,8
Gizmo,69
Thingamajig,90
Whatchamacallit,36
Whatchamacallit,28
Gizmo,118
Whatchamacallit,93
Widget,175
Doohickey,76
Whatchamacallit,101
Gizmo,158
Thingamajig,151
Gizmo,144
Gadget,14
Gizmo,71
Widget,180
Doohickey,124
Doohickey,125
Whatchamacallit,37
Widget,29
Gadget,195
Widget,143
Gizmo,175
Widget,174
Widget,180
Gadget,19
Gizmo,106
Thingamajig,21
Thingamajig,64
Doohickey,165
Whatchamacallit,27
Widget,55
Doohickey,29
Gadget,148
Thingamajig,25
Widget,70
Gadget,63
Whatchamacallit,164
Gadget,130
Widget,150
Whatchamacallit,16
Gadget,146
Whatchamacallit,197
Widget,182
Widget,100
